"","polity","realized_coup","type_of_coup","replicate","n","number"
"499",-7,0,"attempt",49,100,100
"500",-7,0,"attempt",50,110,110
"501",-7,0,"conspiracy",1,62,62
"502",-7,0,"conspiracy",2,73,73
"503",-7,0,"conspiracy",3,84,84
"504",-7,0,"conspiracy",4,73,73
"505",-7,0,"conspiracy",5,71,71
"506",-7,0,"conspiracy",6,69,69
"507",-7,0,"conspiracy",7,65,65
"508",-7,0,"conspiracy",8,73,73
"509",-7,0,"conspiracy",9,69,69
"510",-7,0,"conspiracy",10,74,74
"511",-7,0,"conspiracy",11,76,76
"512",-7,0,"conspiracy",12,78,78
"513",-7,0,"conspiracy",13,83,83
"514",-7,0,"conspiracy",14,67,67
"515",-7,0,"conspiracy",15,73,73
"516",-7,0,"conspiracy",16,71,71
"517",-7,0,"conspiracy",17,70,70
"518",-7,0,"conspiracy",18,79,79
"519",-7,0,"conspiracy",19,79,79
"520",-7,0,"conspiracy",20,76,76
"521",-7,0,"conspiracy",21,66,66
"522",-7,0,"conspiracy",22,75,75
"523",-7,0,"conspiracy",23,81,81
"524",-7,0,"conspiracy",24,68,68
"525",-7,0,"conspiracy",25,74,74
"526",-7,0,"conspiracy",26,65,65
"527",-7,0,"conspiracy",27,81,81
"528",-7,0,"conspiracy",28,71,71
"529",-7,0,"conspiracy",29,60,60
"530",-7,0,"conspiracy",30,78,78
"531",-7,0,"conspiracy",31,72,72
"532",-7,0,"conspiracy",32,68,68
"533",-7,0,"conspiracy",33,78,78
"534",-7,0,"conspiracy",34,63,63
"535",-7,0,"conspiracy",35,68,68
"536",-7,0,"conspiracy",36,67,67
"537",-7,0,"conspiracy",37,75,75
"538",-7,0,"conspiracy",38,72,72
"539",-7,0,"conspiracy",39,68,68
"540",-7,0,"conspiracy",40,74,74
"541",-7,0,"conspiracy",41,78,78
"542",-7,0,"conspiracy",42,64,64
"543",-7,0,"conspiracy",43,69,69
"544",-7,0,"conspiracy",44,81,81
"545",-7,0,"conspiracy",45,62,62
"546",-7,0,"conspiracy",46,70,70
"547",-7,0,"conspiracy",47,69,69
"548",-7,0,"conspiracy",48,75,75
"549",-7,0,"conspiracy",49,60,60
"550",-7,0,"conspiracy",50,51,51
"551",-7,0,"coup",1,1,1
"552",-7,0,"coup",3,1,1
"553",-7,0,"coup",5,3,3
"554",-7,0,"coup",7,3,3
"555",-7,0,"coup",12,1,1
"556",-7,0,"coup",15,1,1
"557",-7,0,"coup",17,2,2
"558",-7,0,"coup",18,3,3
"559",-7,0,"coup",20,1,1
"560",-7,0,"coup",23,2,2
"561",-7,0,"coup",24,3,3
"562",-7,0,"coup",27,1,1
"563",-7,0,"coup",28,1,1
"564",-7,0,"coup",30,1,1
"565",-7,0,"coup",31,1,1
"566",-7,0,"coup",35,2,2
"567",-7,0,"coup",36,1,1
"568",-7,0,"coup",37,1,1
"569",-7,0,"coup",39,1,1
"570",-7,0,"coup",41,2,2
"571",-7,0,"coup",43,3,3
"572",-7,0,"coup",44,1,1
"573",-7,0,"coup",45,1,1
"574",-7,0,"coup",46,1,1
"575",-7,0,"coup",47,1,1
"576",-7,0,"coup",49,2,2
"577",-7,0,"coup",50,1,1
"578",-7,1,"attempt",1,2,2
"579",-7,1,"attempt",3,2,2
"580",-7,1,"attempt",4,3,3
"581",-7,1,"attempt",5,3,3
"582",-7,1,"attempt",6,1,1
"583",-7,1,"attempt",7,2,2
"584",-7,1,"attempt",9,1,1
"585",-7,1,"attempt",10,2,2
"586",-7,1,"attempt",11,1,1
"587",-7,1,"attempt",12,5,5
"588",-7,1,"attempt",13,2,2
"589",-7,1,"attempt",14,1,1
"590",-7,1,"attempt",15,1,1
"591",-7,1,"attempt",16,2,2
"592",-7,1,"attempt",17,3,3
"593",-7,1,"attempt",18,2,2
"594",-7,1,"attempt",19,1,1
"595",-7,1,"attempt",20,3,3
"596",-7,1,"attempt",21,1,1
"597",-7,1,"attempt",22,1,1
"598",-7,1,"attempt",23,2,2
"599",-7,1,"attempt",26,1,1
"600",-7,1,"attempt",27,1,1
"601",-7,1,"attempt",28,1,1
"602",-7,1,"attempt",29,2,2
"603",-7,1,"attempt",30,1,1
"604",-7,1,"attempt",31,3,3
"605",-7,1,"attempt",32,2,2
"606",-7,1,"attempt",33,1,1
"607",-7,1,"attempt",34,2,2
"608",-7,1,"attempt",35,1,1
"609",-7,1,"attempt",36,1,1
"610",-7,1,"attempt",38,2,2
"611",-7,1,"attempt",39,1,1
"612",-7,1,"attempt",40,3,3
"613",-7,1,"attempt",41,2,2
"614",-7,1,"attempt",42,4,4
"615",-7,1,"attempt",43,2,2
"616",-7,1,"attempt",44,2,2
"617",-7,1,"attempt",45,2,2
"618",-7,1,"attempt",46,3,3
"619",-7,1,"attempt",47,2,2
"620",-7,1,"attempt",48,2,2
"621",-7,1,"attempt",50,1,1
"622",-7,1,"coup",1,114,114
"623",-7,1,"coup",2,109,109
"624",-7,1,"coup",3,89,89
"625",-7,1,"coup",4,137,137
"626",-7,1,"coup",5,128,128
"627",-7,1,"coup",6,126,126
"628",-7,1,"coup",7,121,121
"629",-7,1,"coup",8,116,116
"630",-7,1,"coup",9,117,117
"631",-7,1,"coup",10,117,117
"632",-7,1,"coup",11,137,137
"633",-7,1,"coup",12,127,127
"634",-7,1,"coup",13,120,120
"635",-7,1,"coup",14,116,116
"636",-7,1,"coup",15,113,113
"637",-7,1,"coup",16,130,130
"638",-7,1,"coup",17,119,119
"639",-7,1,"coup",18,120,120
"640",-7,1,"coup",19,112,112
"641",-7,1,"coup",20,124,124
"642",-7,1,"coup",21,96,96
"643",-7,1,"coup",22,115,115
"644",-7,1,"coup",23,111,111
"645",-7,1,"coup",24,118,118
"646",-7,1,"coup",25,129,129
"647",-7,1,"coup",26,118,118
"648",-7,1,"coup",27,120,120
"649",-7,1,"coup",28,109,109
"650",-7,1,"coup",29,113,113
"651",-7,1,"coup",30,114,114
"652",-7,1,"coup",31,128,128
"653",-7,1,"coup",32,111,111
"654",-7,1,"coup",33,122,122
"655",-7,1,"coup",34,122,122
"656",-7,1,"coup",35,115,115
"657",-7,1,"coup",36,119,119
"658",-7,1,"coup",37,116,116
"659",-7,1,"coup",38,134,134
"660",-7,1,"coup",39,129,129
"661",-7,1,"coup",40,113,113
"662",-7,1,"coup",41,116,116
"663",-7,1,"coup",42,128,128
"664",-7,1,"coup",43,106,106
"665",-7,1,"coup",44,103,103
"666",-7,1,"coup",45,109,109
"667",-7,1,"coup",46,113,113
"668",-7,1,"coup",47,129,129
"669",-7,1,"coup",48,135,135
"670",-7,1,"coup",49,128,128
"671",-7,1,"coup",50,113,113
"672",-6,0,"attempt",1,23,23
"673",-6,0,"attempt",2,20,20
"674",-6,0,"attempt",3,20,20
"675",-6,0,"attempt",4,23,23
"676",-6,0,"attempt",5,31,31
"677",-6,0,"attempt",6,25,25
"678",-6,0,"attempt",7,26,26
"679",-6,0,"attempt",8,28,28
"680",-6,0,"attempt",9,19,19
"681",-6,0,"attempt",10,21,21
"682",-6,0,"attempt",11,13,13
"683",-6,0,"attempt",12,22,22
"684",-6,0,"attempt",13,20,20
"685",-6,0,"attempt",14,19,19
"686",-6,0,"attempt",15,24,24
"687",-6,0,"attempt",16,20,20
"688",-6,0,"attempt",17,28,28
"689",-6,0,"attempt",18,20,20
"690",-6,0,"attempt",19,28,28
"691",-6,0,"attempt",20,19,19
"692",-6,0,"attempt",21,16,16
"693",-6,0,"attempt",22,19,19
"694",-6,0,"attempt",23,19,19
"695",-6,0,"attempt",24,24,24
"696",-6,0,"attempt",25,20,20
"697",-6,0,"attempt",26,21,21
"698",-6,0,"attempt",27,26,26
"699",-6,0,"attempt",28,32,32
"700",-6,0,"attempt",29,23,23
"701",-6,0,"attempt",30,31,31
"702",-6,0,"attempt",31,22,22
"703",-6,0,"attempt",32,29,29
"704",-6,0,"attempt",33,21,21
"705",-6,0,"attempt",34,25,25
"706",-6,0,"attempt",35,23,23
"707",-6,0,"attempt",36,26,26
"708",-6,0,"attempt",37,21,21
"709",-6,0,"attempt",38,20,20
"710",-6,0,"attempt",39,22,22
"711",-6,0,"attempt",40,21,21
"712",-6,0,"attempt",41,30,30
"713",-6,0,"attempt",42,19,19
"714",-6,0,"attempt",43,24,24
"715",-6,0,"attempt",44,27,27
"716",-6,0,"attempt",45,20,20
"717",-6,0,"attempt",46,26,26
"718",-6,0,"attempt",47,23,23
"719",-6,0,"attempt",48,28,28
"720",-6,0,"attempt",49,19,19
